nombre,foto,pelis
Scarlett Johansson,https://media.themoviedb.org/t/p/w235_and_h235_face/6bBCPmc55gzP7TR9Th4WbykrYd0.jpg,"Lucy, Viuda negra y Capitán América: El soldado de invierno"
Austin Butler,https://media.themoviedb.org/t/p/w235_and_h235_face/jn63A9goIetyvJt5DTHypjk33ip.jpg,"Elvis, Érase una vez en… Hollywood y Las crónicas de Shannara"
Denzel Washington,https://media.themoviedb.org/t/p/w235_and_h235_face/jj2Gcobpopokal0YstuCQW0ldJ4.jpg,"The equalizer (El protector), El libro de Eli y El vuelo (Flight)"
Amanda Seyfried,https://media.themoviedb.org/t/p/w235_and_h235_face/gtBUIpZ3dvLpOMIVORxE6sHSyZj.jpg,"In Time, Querido John y Caperucita roja ¿A quién tienes miedo?"
William Fichtner,https://media.themoviedb.org/t/p/w235_and_h235_face/wWtJOoaNAwPparpzMNuRBjvxwEf.jpg,"Ninja Turtles, El Llanero Solitario y El caballero oscuro"
Liam Neeson,https://media.themoviedb.org/t/p/w235_and_h235_face/bboldwqSC6tdw2iL6631c98l2Mn.jpg,"La lista de Schindler, La guerra de las galaxias. Episodio I: La amenaza fantasma y Venganza"
Hayley Atwell,https://media.themoviedb.org/t/p/w235_and_h235_face/zM53P3iVyEnRNEeotU4vCCv13II.jpg,"Capitán América: El primer vengador, Black Mirror y Capitán América: El soldado de invierno"
Clint Eastwood,https://media.themoviedb.org/t/p/w235_and_h235_face/dU35NnjZ4aGw5abIJe3WXVf3Eey.jpg,"Gran Torino, Million Dollar Baby y El bueno, el feo y el malo"
Shohreh Aghdashloo,https://media.themoviedb.org/t/p/w235_and_h235_face/vuE7zU05kmnalORwIzVTi8uIMRA.jpg,"X-Men: La decisión final, The Expanse y La casa del lago"
Ian McShane,https://media.themoviedb.org/t/p/w235_and_h235_face/rteBJYNgD1yGsHg2HGZAIrYHz1t.jpg,"John Wick (Otro día para matar), John Wick: Pacto de sangre y John Wick: Capítulo 3 - Parabellum"
Henry Cavill,https://media.themoviedb.org/t/p/w235_and_h235_face/dgTD7Q9owL3DyX9uYoSX9KZeUUz.jpg,"El hombre de acero, Batman vs Superman: El amanecer de la Justicia y Liga de la Justicia"
Jason Momoa,https://media.themoviedb.org/t/p/w235_and_h235_face/6dEFBpZH8C8OijsynkSajQT99Pb.jpg,"Aquaman, La Liga de la Justicia de Zack Snyder y See"
Jennifer Connelly,https://media.themoviedb.org/t/p/w235_and_h235_face/opBts8lC3ZhK4BQwl8ztczehsFQ.jpg,"Una mente maravillosa, Réquiem por un sueño y Noé"
Rachel Weisz,https://media.themoviedb.org/t/p/w235_and_h235_face/msTqKPA33ryVtcVNgOdeaJGYq16.jpg,"La momia, Constantine y El regreso de la momia"
Owen Wilson,https://media.themoviedb.org/t/p/w235_and_h235_face/ntN3DL1Us5G2PCvlfq112vLXRKa.jpg,"Cars, Midnight in Paris y Cars 3"
Emma Watson,https://media.themoviedb.org/t/p/w235_and_h235_face/tvPPRGzAzdQFhlKzLbMO1EpuTJI.jpg,"La bella y la bestia, Harry Potter y las Reliquias de la Muerte - Parte 2 y Harry Potter y las Reliquias de la Muerte - Parte 1"
Josh Brolin,https://media.themoviedb.org/t/p/w235_and_h235_face/sX2etBbIkxRaCsATyw5ZpOVMPTD.jpg,"No es país para viejos, Deadpool 2 y Gangster Squad: Brigada de élite"
