nombre,foto,pelis
Leslie Nielsen,https://media.themoviedb.org/t/p/w235_and_h235_face/u5vWl5dw69Nf89f905Qb5JqEVL3.jpg,"Agárralo como puedas, Agárralo como puedas 2 1/2: el aroma del miedo y Agárralo como puedas 33 1/3: el insulto final"
Uma Thurman,https://media.themoviedb.org/t/p/w235_and_h235_face/xuxgPXyv6KjUHIM8cZaxx4ry25L.jpg,"Kill Bill: Volumen 1, Kill Bill: Volumen 2 y Pulp Fiction"
Alicia Silverstone,https://media.themoviedb.org/t/p/w235_and_h235_face/pyxqkP4i0ubVdoRe5hoiiiwkHkb.jpg,"Clueless (Fuera de onda), Batman y Robin y El sacrificio de un ciervo sagrado"
Jeremy Irons,https://media.themoviedb.org/t/p/w235_and_h235_face/w8Ct1q02Ht3sWdOSqfp3B85TzT.jpg,"Assassin's Creed, Batman vs Superman: El amanecer de la Justicia y El rey león"
Barry Keoghan,https://media.themoviedb.org/t/p/w235_and_h235_face/ngoitknM6hw8fffLywyvjzy6Iti.jpg,"Dunkerque, Saltburn y Eternals"
Eva Green,https://media.themoviedb.org/t/p/w235_and_h235_face/vwjOWfUeDk5fQr8jraKlR1Yfxxq.jpg,"El hogar de Miss Peregrine para niños peculiares, Casino Royale y 300: El origen de un imperio"
Viggo Mortensen,https://media.themoviedb.org/t/p/w235_and_h235_face/vH5gVSpHAMhDaFWfh0Q7BG61O1y.jpg,"Green Book, El señor de los anillos: La comunidad del anillo y El señor de los anillos: El retorno del rey"
Nathan Fillion,https://media.themoviedb.org/t/p/w235_and_h235_face/aW6vCxkUZtwb6iH2Wf88Uq0XNVv.jpg,"Serenity, Firefly y Castle"
Mila Kunis,https://media.themoviedb.org/t/p/w235_and_h235_face/811vCRSr9s2MFwCIOo1jWHltu3R.jpg,"Cisne negro, El destino de Júpiter y Ted"
Charlie Sheen,https://media.themoviedb.org/t/p/w235_and_h235_face/eHMe0jYsp6YBgyCDbgtheZrIHAy.jpg,"Platoon, Dos hombres y medio y Hot Shots!"
Nina Dobrev,https://media.themoviedb.org/t/p/w235_and_h235_face/67A1s3I8k831MJ7VRLX59hBNdNt.jpg,"Crónicas vampíricas, ¡Qué duro es el amor! y Las ventajas de ser un marginado"
Will Smith,https://media.themoviedb.org/t/p/w235_and_h235_face/1QqaRZ8neYlqLx7ODZC4as47wUV.jpg,"Escuadrón suicida, Soy leyenda y Yo, robot"
Val Kilmer,https://media.themoviedb.org/t/p/w235_and_h235_face/szMi36EOoCuMYeYO9eYqRefEnKo.jpg,"Batman Forever, El príncipe de Egipto y Top Gun: Ídolos del aire"
Bradley Cooper,https://media.themoviedb.org/t/p/w235_and_h235_face/DPnessSsWqVXRbKm93PtMjB4Us.jpg,"Resacón en Las Vegas, El francotirador y El lado bueno de las cosas"
Rosario Dawson,https://media.themoviedb.org/t/p/w235_and_h235_face/1mm7JGHIUX3GRRGXEV9QCzsI0ao.jpg,"Siete almas, Hombres de negro II y Death Proof"
Jean-Claude Van Damme,https://media.themoviedb.org/t/p/w235_and_h235_face/7DP3bm3MS0qa0L8tBLHGebbCu6H.jpg,"Contacto sangriento, Soldado Universal y Street Fighter: La última batalla"
Anna Kendrick,https://media.themoviedb.org/t/p/w235_and_h235_face/yirl6fEmeXY5xcvJw3nTcCNq9Cw.jpg,"Dando la nota, Dando la nota: Aún más alto y Un pequeño favor"
Jesse Plemons,https://media.themoviedb.org/t/p/w235_and_h235_face/ckTthGclQE0y6b7gR0RpRo7LskL.jpg,"El camino: una película de Breaking Bad, Estoy pensando en dejarlo y Jungle Cruise"
Paul Bettany,https://media.themoviedb.org/t/p/w235_and_h235_face/vcAVrAOZrpqmi37qjFdztRAv1u9.jpg,"Bruja Escarlata y Visión, Iron Man y Vengadores: La Era de Ultrón"
Song Kang,https://media.themoviedb.org/t/p/w235_and_h235_face/dMUXkMfkTEw3qrJisk0mQCQxmBI.jpg,"Sweet Home, Love Alarm y Mi adorable demonio"
Clare Dunne,https://media.themoviedb.org/t/p/w235_and_h235_face/AisYR4krGar2CcdVck1IMl51FLv.jpg,"Spider-Man. Lejos de casa, El último duelo y Volver a empezar"
Danielle Panabaker,https://media.themoviedb.org/t/p/w235_and_h235_face/dpX6WMQjJDD93YYaC9Wd6tgucuZ.jpg,"The Flash, Viernes 13 y Time Lapse"
Patrick Wilson,https://media.themoviedb.org/t/p/w235_and_h235_face/tc1ezEfIY8BhCy85svOUDtpBFPt.jpg,"Expediente Warren: The Conjuring, Expediente Warren: El caso Enfield y Insidious"
Jeffrey Wright,https://media.themoviedb.org/t/p/w235_and_h235_face/yGcuHGW4glqRpOPxgiCvjcren7F.jpg,"¿Qué pasaría si...?, Batman y Casino Royale"
Colin Farrell,https://media.themoviedb.org/t/p/w235_and_h235_face/yGohLbGy8huibHfT52sbnGoGu7x.jpg,"Langosta, Desafío total y Escondidos en Brujas"
Josh Hartnett,https://media.themoviedb.org/t/p/w235_and_h235_face/dCfu2EN7FjISACcjilaJu7evwEc.jpg,"Black Hawk derribado, El caso Slevin y 30 días de oscuridad"
Annette Bening,https://media.themoviedb.org/t/p/w235_and_h235_face/sBiiRwAVXd0FCRZ87m0I89qGBvy.jpg,"American Beauty, Capitana Marvel y Mars Attacks!"
Yuki Kaji,https://media.themoviedb.org/t/p/w235_and_h235_face/8wKdPV11IwowfwoqGqMMNt9hmp6.jpg,"Ataque a los Titanes, Los siete pecados capitales y High School DxD"
Richard Chamberlain,https://media.themoviedb.org/t/p/w235_and_h235_face/hdnR3Nd49rFNpPUFF2lQyetBypo.jpg,"Las minas del rey Salomón, Allan Quatermain y la ciudad perdida del oro y Os declaro marido y marido"
Natalie Portman,https://media.themoviedb.org/t/p/w235_and_h235_face/edPU5HxncLWa1YkgRPNkSd68ONG.jpg,"Cisne negro, V de Vendetta y Thor"
Mel Gibson,https://media.themoviedb.org/t/p/w235_and_h235_face/jnqHMaOslt8cef2atSmOpGRvNla.jpg,"Braveheart, Señales y Arma letal"
Dylan Wang,https://media.themoviedb.org/t/p/w235_and_h235_face/lj0KGutrA0MSJxgsjNzvIGMDnFX.jpg,"Jardín de meteoros (Meteor Garden), Amor entre Hada y Demonio y Noche Eterna"
Paul Dano,https://media.themoviedb.org/t/p/w235_and_h235_face/as6rmmWKgSrpHs0suNRSbQT8Raw.jpg,"Swiss Army Man, Pozos de ambición y Batman"
Bryan Cranston,https://media.themoviedb.org/t/p/w235_and_h235_face/7Jahy5LZX2Fo8fGJltMreAI49hC.jpg,"Breaking Bad, Isla de perros y Drive"
Hande Erçel,https://media.themoviedb.org/t/p/w235_and_h235_face/jrUvWNqOpfDm3D0KhbuRwQOy8Nu.jpg,"Love is in the Air, Hayat: Amor sin palabras y Chicas Del Sol"
Asa Butterfield,https://media.themoviedb.org/t/p/w235_and_h235_face/hMDIBO0QcOydD0UtfeDjTR7mhi6.jpg,"Sex Education, La invención de Hugo y El niño con el pijama de rayas"
Damon Wayans,https://media.themoviedb.org/t/p/w235_and_h235_face/10gs0DB8ulakUN47hZwFRr5UdT0.jpg,"El último Boy Scout, Mayor Payne y Arma letal"
Felicity Jones,https://media.themoviedb.org/t/p/w235_and_h235_face/35KdWSfTldNEdsn4MUGFIRoxJEu.jpg,"Rogue One: Una historia de Star Wars, La teoría del todo y Inferno"
Lance Henriksen,https://media.themoviedb.org/t/p/w235_and_h235_face/ieo8Zbw30UAPAscGOI6090VhL4I.jpg,"Terminator, Aliens: El regreso y Alien vs. Predator"
Katrina Law,https://media.themoviedb.org/t/p/w235_and_h235_face/y7LzCN8BaoPPSXDBo0UwPQ4UwSB.jpg,"Navy: Investigación criminal, 12 regalos de Navidad y Hawaii Five-0"
Maggie Q,https://media.themoviedb.org/t/p/w235_and_h235_face/1Z0A8axunWqZrskGkfANv6W5qCl.jpg,"Fantasy Island, Divergente y La jungla 4.0"
Shea Whigham,https://media.themoviedb.org/t/p/w235_and_h235_face/d3caK3l4UfbnzOxv95wLoFLZzMO.jpg,"Joker, El lobo de Wall Street y El lado bueno de las cosas"
Chris Hemsworth,https://media.themoviedb.org/t/p/w235_and_h235_face/xkHHiJXraaMFXgRYspN6KVrFn17.jpg,"Thor, Thor: Ragnarok y Thor: el mundo oscuro"
Hayden Christensen,https://media.themoviedb.org/t/p/w235_and_h235_face/RuwAecNK9VDeTrfw6LUE4q4rIt.jpg,"La guerra de las galaxias. Episodio III: La venganza de los Sith, La guerra de las galaxias. Episodio II: El ataque de los clones y Jumper"
Tim Matheson,https://media.themoviedb.org/t/p/w235_and_h235_face/trZ4QaDidCOPNy7HK9cYnmKHkg9.jpg,"Desmadre a la americana, Van Wilder: Animal Party y Jumanji: Bienvenidos a la jungla"
Andrew Garfield,https://media.themoviedb.org/t/p/w235_and_h235_face/5ydZ6TluPtxlz5G8nlWMB7SGmow.jpg,"The Amazing Spider-Man, Hasta El Último Hombre y The Amazing Spider-Man 2: El poder de Electro"
Laura Dern,https://media.themoviedb.org/t/p/w235_and_h235_face/gB9PnGEvxKg33OSlcqptQwTBwPE.jpg,"Jurassic Park (Parque Jurásico), Bajo la misma estrella y Historia De Un Matrimonio"
Mark Ruffalo,https://media.themoviedb.org/t/p/w235_and_h235_face/5GilHMOt5PAQh6rlUKZzGmaKEI7.jpg,"Shutter Island, Los Vengadores y Vengadores: Infinity War"
Matthew Lillard,https://media.themoviedb.org/t/p/w235_and_h235_face/mIEKAfe0iC41RDXibbTy48LtNOi.jpg,"Scream (Vigila quién llama), Scooby-Doo y Five Nights at Freddy's"
Tommy Lee Jones,https://media.themoviedb.org/t/p/w235_and_h235_face/mCiZNRAzbnPojJEZwVZWLw9kzxR.jpg,"Men in Black (Hombres de negro), Capitán América: El primer vengador y Men in Black 3"
Akira Toriyama,https://media.themoviedb.org/t/p/w235_and_h235_face/9YorJMvF6DgfJcpATHbGyivZpS5.jpg,"Dragon Ball Z, Dragon Ball y Dragon Ball Super: Broly"
Sandra Bullock,https://media.themoviedb.org/t/p/w235_and_h235_face/5pyso6iXs4nGz55tCOU6AfmPspZ.jpg,"Gravity, Los Minions y A ciegas"
Sandra Hüller,https://media.themoviedb.org/t/p/w235_and_h235_face/t7wGqC2dRwTEnt9Fk5pxQ0uXTqs.jpg,"Anatomía de una caída, Toni Erdmann y La zona de interés"
Idris Elba,https://media.themoviedb.org/t/p/w235_and_h235_face/be1bVF7qGX91a6c5WeRPs5pKXln.jpg,"Zootrópolis, La Torre Oscura y El escuadrón suicida"
Michelle Monaghan,https://media.themoviedb.org/t/p/w235_and_h235_face/jB47BoGdudHELszn9ZAZqnnUy8N.jpg,"Código fuente, Lo mejor de mí y Pixels"
Paul Rudd,https://media.themoviedb.org/t/p/w235_and_h235_face/6jtwNOLKy0LdsRAKwZqgYMAfd5n.jpg,"Ant-Man, Ant-Man y la Avispa y Ant-Man y la Avispa: Quantumanía"
Téa Leoni,https://media.themoviedb.org/t/p/w235_and_h235_face/1Jb6J8Q6zW8IAWMjrCd3c0NIlKL.jpg,"Jurassic Park III (Parque Jurásico III), Dos policías rebeldes y Deep Impact"
